Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ámbito territorial;Disponibilidad de taxímetro;periodo;Total
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2001;6.398
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2000;6.420
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;1999;6.521
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;1998;6.428
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;1997;6.486
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;1996;6.409
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;1995;6.440
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;1994;6.257
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2019;1.552
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2018;1.493
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2017;1.617
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2016;1.796
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2015;1.916
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2014;2.356
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2013;3.007
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2012;3.183
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2011;3.399
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2010;3.533
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2009;3.593
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2008;3.641
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2007;3.720
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2006;3.646
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2005;3.663
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2004;3.536
