Comunidades y Ciudades Autónomas;Periodo;Total
08 Castilla - La Mancha;1997;9,46
08 Castilla - La Mancha;1996;9,83
08 Castilla - La Mancha;1995;9,63
08 Castilla - La Mancha;1994;9,68
08 Castilla - La Mancha;1993;9,82
08 Castilla - La Mancha;1992;9,57
08 Castilla - La Mancha;1991;9,77
08 Castilla - La Mancha;1990;9,31
08 Castilla - La Mancha;1989;9,43
08 Castilla - La Mancha;1988;9,13
08 Castilla - La Mancha;1987;9,07
08 Castilla - La Mancha;1986;9,2
08 Castilla - La Mancha;1985;9,62
08 Castilla - La Mancha;1984;9,23
08 Castilla - La Mancha;1983;9,39
08 Castilla - La Mancha;1982;8,7
08 Castilla - La Mancha;1981;9,22
08 Castilla - La Mancha;1980;9,03
08 Castilla - La Mancha;1979;9,12
08 Castilla - La Mancha;1978;9,22
08 Castilla - La Mancha;1977;9,15
08 Castilla - La Mancha;1976;9,08
08 Castilla - La Mancha;1975;9,25
09 Cataluña;2021;9,05
09 Cataluña;2020;10,42
09 Cataluña;2019;8,48
09 Cataluña;2018;8,86
09 Cataluña;2017;8,88
09 Cataluña;2016;8,53
09 Cataluña;2015;8,77
09 Cataluña;2014;8,29
09 Cataluña;2013;8,17
09 Cataluña;2012;8,4
09 Cataluña;2011;8,02
09 Cataluña;2010;7,98
09 Cataluña;2009;8,09
09 Cataluña;2008;8,15
09 Cataluña;2007;8,3
09 Cataluña;2006;8,18
09 Cataluña;2005;8,9
09 Cataluña;2004;8,51
09 Cataluña;2003;9,15
09 Cataluña;2002;8,94
09 Cataluña;2001;8,91
09 Cataluña;2000;8,88
09 Cataluña;1999;9,3
09 Cataluña;1998;8,98
09 Cataluña;1997;8,89
09 Cataluña;1996;8,72
09 Cataluña;1995;8,78
09 Cataluña;1994;8,58
09 Cataluña;1993;8,67
09 Cataluña;1992;8,58
09 Cataluña;1991;8,7
09 Cataluña;1990;8,64
09 Cataluña;1989;8,36
09 Cataluña;1988;8,09
09 Cataluña;1987;7,82
09 Cataluña;1986;7,78
09 Cataluña;1985;7,82
09 Cataluña;1984;7,39
09 Cataluña;1983;7,48
09 Cataluña;1982;6,74
09 Cataluña;1981;6,94
09 Cataluña;1980;7,07
09 Cataluña;1979;7,22
09 Cataluña;1978;7,58
09 Cataluña;1977;7,66
09 Cataluña;1976;8,01
09 Cataluña;1975;8,29
10 Comunitat Valenciana;2021;9,83
10 Comunitat Valenciana;2020;9,64
10 Comunitat Valenciana;2019;8,8
10 Comunitat Valenciana;2018;9,16
10 Comunitat Valenciana;2017;9,09
10 Comunitat Valenciana;2016;8,66
10 Comunitat Valenciana;2015;8,99
10 Comunitat Valenciana;2014;8,4
10 Comunitat Valenciana;2013;8,16
10 Comunitat Valenciana;2012;8,46
10 Comunitat Valenciana;2011;8,15
10 Comunitat Valenciana;2010;8,04
10 Comunitat Valenciana;2009;8,04
10 Comunitat Valenciana;2008;8,08
10 Comunitat Valenciana;2007;8,21
10 Comunitat Valenciana;2006;8,14
10 Comunitat Valenciana;2005;8,7
10 Comunitat Valenciana;2004;8,54
10 Comunitat Valenciana;2003;9,16
10 Comunitat Valenciana;2002;8,94
10 Comunitat Valenciana;2001;8,98
10 Comunitat Valenciana;2000;8,88
10 Comunitat Valenciana;1999;9,36
10 Comunitat Valenciana;1998;8,96
10 Comunitat Valenciana;1997;9,01
10 Comunitat Valenciana;1996;8,96
10 Comunitat Valenciana;1995;8,73
10 Comunitat Valenciana;1994;8,88
10 Comunitat Valenciana;1993;8,79
10 Comunitat Valenciana;1992;8,73
10 Comunitat Valenciana;1991;8,88
10 Comunitat Valenciana;1990;8,78
10 Comunitat Valenciana;1989;8,83
10 Comunitat Valenciana;1988;8,74
10 Comunitat Valenciana;1987;8,39
10 Comunitat Valenciana;1986;8,39
10 Comunitat Valenciana;1985;8,45
10 Comunitat Valenciana;1984;8,05
10 Comunitat Valenciana;1983;8,38
10 Comunitat Valenciana;1982;8,21
10 Comunitat Valenciana;1981;8,4
10 Comunitat Valenciana;1980;8,47
10 Comunitat Valenciana;1979;8,66
10 Comunitat Valenciana;1978;8,97
